user_id,movie_id,rating,genres,production_companies,production_countries,release_year,overview
93787,gods+and+monsters+1998,4,Drama,Lions Gate Films Flashpoint (I) Showtime Networks,United Kingdom United States of America,1998,"It's 1957, and Whale's heyday as the director of ""Frankenstein,"" ""Bride of Frankenstein"" and ""The Invisible Man"" is long behind him. Retired and a semi-recluse, he lives his days accompanied only by images from his past. When his dour housekeeper, Hannah, hires a handsome young gardener, the flamboyant director and simple yard man develop an unlikely friendship, which will change them forever."
197858,stargate+1994,3,Action Adventure Science Fiction,Centropolis Entertainment StudioCanal Carolco Entertainment,France United States of America,1994,"An interstellar teleportation device, found in Egypt, leads to a planet with humans resembling ancient Egyptians who worship the god Ra."
76204,toy+story+1995,3,Animation Comedy Family,Pixar Animation Studios,United States of America,1995,"Led by Woody, Andy's toys live happily in his room until Andy's birthday brings Buzz Lightyear onto the scene. Afraid of losing his place in Andy's heart, Woody plots against Buzz. But when circumstances separate Buzz and Woody from their owner, the duo eventually learns to put aside their differences."
667201,friends+with+benefits+2011,4,Romance Comedy,Castle Rock Entertainment Screen Gems Olive Bridge Entertainment,United States of America,2011,"Jamie is a New York-based executive recruiter who entices Dylan, an art director from Los Angeles, to take a job at the New York office of GQ magazine. Finding that they have much in common, the two become fast friends. Feeling jaded by a number of broken romances, Dylan and Jamie decide that they are ready to quit looking for true love and focus on having fun. However, complications unfold when the two best pals add sex to their relationship."
336750,sleeper+1973,4,Comedy Romance Science Fiction,Rollins-Joffe Productions,United States of America,1973,"Miles Monroe, a clarinet-playing health food store proprietor, is revived out of cryostasis 200 years into a future world in order to help rebels fight an oppressive government regime."
392573,gladiator+1992+1992,1,Action Drama,Columbia Pictures Corporation Price Entertainment,United States of America,1992,A story of two teenagers trapped in the world of illegal underground boxing. One is fighting to save his fathers life and using the money pay off gambling debts accumulated by his father. The second is fighting for the money to get out of the ghettos. While being exploited by a boxing promoter the two teens become friends. An explosive ending puts the two friends in the ring against each other.
121431,the+birdcage+1996,5,Comedy,United Artists,United States of America,1996,A gay cabaret owner and his drag queen companion agree to put up a false straight front so that their son can introduce them to his fiancé's right-wing moralistic parents.
645173,mission+impossible+ii+2000,4,Adventure Action Thriller,Paramount Pictures Cruise/Wagner Productions Munich Film Partners & Company (MFP) MI2 Productions,Germany United States of America,2000,"With computer genius Luther Stickell at his side and a beautiful thief on his mind, agent Ethan Hunt races across Australia and Spain to stop a former IMF agent from unleashing a genetically engineered biological weapon called Chimera. This mission, should Hunt choose to accept it, plunges him into the center of an international crisis of terrifying magnitude."
780214,westworld+1973,3,Action Adventure Drama Horror Science Fiction Thriller Western,Metro-Goldwyn-Mayer (MGM),United States of America,1973,"In a futuristic resort, wealthy patrons can visit recreations of different time periods and experience their wildest fantasies with life-like robots. But when Richard Benjamin opts for the wild west, he gets more than he bargained for when a gunslinger robot goes berserk."
203778,stranger+in+the+house+1997,5,Thriller,Allegro Films The Image Organization,United States of America Canada,1997,"A botched diamond burglary and a dead publishing company executive set off a string of murders and betrayal in this suspensful, nonstop thriller!"
343319,spawn+1997,4,Action Adventure Fantasy Horror Science Fiction Thriller,New Line Cinema Pull Down Your Pants Pictures Todd McFarlane Entertainment,United States of America,1997,"After being murdered by corrupt colleagues in a covert government agency, Al Simmons (Michael Jai White) makes a pact with the devil to be resurrected to see his beloved wife Wanda (Theresa Randle). In exchange for his return to Earth, Simmons agrees to lead Hell's Army in the destruction of mankind."
63048,high+noon+1952,3,Western,United Artists Stanley Kramer Productions,United States of America,1952,High Noon is about a recently freed leader of a gang of bandits in the desert who is looking to get revenge on the Sheriff who put him in jail. A legendary western film from the Austrian director Fred Zinnemann.
327683,chicken+run+2000,3,Animation Comedy Family,DreamWorks SKG Aardman Animations DreamWorks Animation Pathé,United Kingdom,2000,"Having been hopelessly repressed and facing eventual certain death at the British chicken farm where they are held, Rocky the american rooster and Ginger the chicken decide to rebel against the evil Mr. and Mrs. Tweedy, the farm's owners. Rocky and Ginger lead their fellow chickens in a great escape from the murderous farmers and their farm of doom."
512412,senior+trip+1995,3,Comedy,New Line Cinema 1992 Number Four Limited Partnership MHA,Canada United States of America,1995,"While on detention, a group of misfits and slackers have to write a letter to the President explaining what is wrong with the education system. There is only one problem, the President loves it! Hence, the group must travel to Washington to meet the Main Man."
59006,peter+pan+1953,5,Animation Music Family Adventure Fantasy,RKO Radio Pictures Walt Disney Productions,United States of America,1953,"Leaving the safety of their nursery behind, Wendy, Michael and John follow Peter Pan to a magical world where childhood lasts forever. But while in Neverland, the kids must face Captain Hook and foil his attempts to get rid of Peter for good."
